                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4292,                 5.1591,                 1.6018,                 0.1437,                0.07785,                0.06102,                0.02564,                 1.8852,                 3.8057,                 1.4459,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.2525,                 2.7446,                 1.0835,                0.25145,                0.22892,                0.13047,                0.08237,                 1.3038,                 9.2182,                 1.0359,              9.669e-05,              9.669e-05,              9.669e-05
                      3,                 1.0961,                 1.8668,                0.99977,                0.65723,                  0.562,                0.66444,                0.42154,                 1.2474,                 3.6105,                  0.992,             0.00014527,             0.00014527,             0.00014527
                      4,                0.96879,                 1.2473,                0.96426,                 0.7928,                0.79045,                0.86912,                 0.5081,                 1.3843,                 2.0579,                 1.0287,             0.00019019,             0.00019019,             0.00019019
                      5,                0.97749,                 1.1321,                 0.9677,                0.84376,                0.88227,                0.93987,                0.68002,                 1.0038,                 1.3676,                0.97208,             0.00023144,             0.00023144,             0.00023144
                      6,                 0.9603,                 1.0662,                0.96396,                  0.897,                0.86661,                0.96679,                0.63886,                 1.1331,                 1.3832,                 1.0067,             0.00026903,             0.00026903,             0.00026903
                      7,                0.89294,                0.88434,                0.94912,                0.96117,                0.89946,                0.97899,                0.73218,                0.93102,                 1.1554,                 0.9654,             0.00030295,             0.00030295,             0.00030295
                      8,                0.90065,                0.77414,                0.92479,                0.95003,                0.92635,                 0.9805,                0.70187,                 1.0406,                 1.0883,                0.96905,              0.0003332,              0.0003332,              0.0003332
                      9,                0.89101,                0.79127,                0.93758,                0.94746,                0.94749,                0.97218,                0.71367,                0.98241,                0.95338,                0.98385,             0.00035979,             0.00035979,             0.00035979
                     10,                0.85888,                0.68746,                0.91288,                0.93348,                0.91487,                0.97455,                0.72452,                0.93094,                0.89439,                0.95996,             0.00038271,             0.00038271,             0.00038271
                     11,                0.84448,                0.63931,                0.92398,                0.95803,                0.98526,                0.98017,                0.72869,                0.95175,                0.71754,                0.95058,             0.00040196,             0.00040196,             0.00040196
                     12,                 0.8769,                 0.6533,                0.92913,                0.95563,                 0.9765,                0.98342,                0.73599,                0.91746,                 0.6917,                0.95028,             0.00041755,             0.00041755,             0.00041755
                     13,                0.81971,                0.64178,                0.90775,                0.97775,                0.96894,                0.98314,                 0.7333,                0.94238,                 0.6746,                0.94716,             0.00042947,             0.00042947,             0.00042947
                     14,                 0.8718,                0.63901,                0.90727,                0.97604,                0.97956,                0.98227,                0.77161,                0.81602,                0.66353,                0.91155,             0.00043772,             0.00043772,             0.00043772
                     15,                0.82557,                0.59041,                0.90309,                 0.9519,                0.98374,                0.98526,                 0.7693,                0.84692,                0.66459,                0.92546,             0.00044231,             0.00044231,             0.00044231
                     16,                 0.9024,                0.60821,                 0.9044,                0.97227,                0.98396,                0.98428,                 0.7513,                0.92802,                  0.617,                0.92705,             0.00044323,             0.00044323,             0.00044323
                     17,                0.97403,                0.66218,                 0.9372,                0.98961,                0.97945,                0.98332,                0.75117,                 0.9031,                0.59624,                0.93775,             0.00044049,             0.00044049,             0.00044049
                     18,                0.87431,                0.61195,                0.89348,                 0.9898,                0.98595,                0.98352,                0.72283,                0.97979,                0.63393,                 0.9551,             0.00043408,             0.00043408,             0.00043408
                     19,                0.90871,                 0.6113,                 0.9233,                0.97523,                0.98472,                0.98345,                0.73339,                0.95516,                0.69512,                0.94449,               0.000424,               0.000424,               0.000424
                     20,                0.84517,                0.59822,                0.93753,                0.95489,                0.99006,                0.98343,                0.75161,                0.90359,                0.59228,                0.94709,             0.00041026,             0.00041026,             0.00041026
                     21,                0.86511,                0.56468,                0.94086,                0.97982,                0.98866,                0.98357,                0.75832,                0.90315,                0.53158,                0.93893,             0.00037774,             0.00037774,             0.00037774
                     22,                0.81429,                0.55556,                0.93404,                0.98951,                0.99183,                0.98342,                0.75797,                0.88226,                0.52129,                0.89781,             0.00034108,             0.00034108,             0.00034108
                     23,                0.82158,                0.53727,                0.93078,                0.98978,                0.98944,                0.98322,                0.75571,                0.87179,                0.51529,                0.89788,             0.00030441,             0.00030441,             0.00030441
                     24,                 0.8104,                0.51531,                0.89935,                0.98677,                0.99355,                0.98308,                0.75961,                0.85793,                0.50466,                0.92022,             0.00026775,             0.00026775,             0.00026775
                     25,                0.82087,                0.50443,                0.90855,                0.98805,                0.99355,                0.98311,                0.75637,                0.84458,                0.49405,                0.89783,             0.00023109,             0.00023109,             0.00023109
                     26,                0.82703,                0.50425,                0.91321,                0.98925,                0.99355,                0.98313,                0.77221,                0.82351,                0.48679,                 0.8899,             0.00019442,             0.00019442,             0.00019442
                     27,                0.79064,                0.47494,                0.89948,                0.99037,                0.99355,                0.98357,                 0.7754,                0.83466,                0.47908,                0.89356,             0.00015776,             0.00015776,             0.00015776
                     28,                 0.8109,                0.48156,                0.89507,                0.98983,                0.99355,                0.98389,                0.77658,                0.83229,                  0.473,                0.89439,              0.0001211,              0.0001211,              0.0001211
                     29,                0.75189,                0.46841,                0.88973,                0.99002,                0.99355,                0.98393,                0.77591,                0.81703,                0.46522,                0.89213,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.73763,                0.44918,                0.87557,                0.99047,                0.99355,                0.98397,                0.77736,                0.80609,                0.45757,                 0.8886,             4.7773e-05,             4.7773e-05,             4.7773e-05
